param_fmriSession,param_counterbalanceVer,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,p1_block_fix,p1_block_fix_dur,p1_block_question_onset,p1_block_isi_blackscreen,p1_question_duration,p2_image_onset,p2_image_duration,p3_keypress_RT,p3_keypress_key,p3_keypress_onset,p4_short_question_onset,param_end_instruct_onset,total_param_experimentDuration,RAW_param_triggerOnset,param_start_biopac,RAW_p1_block_fix,RAW_p1_block_question_onset,RAW_p1_block_isi_blackscreen,RAW_p2_image_onset,RAW_p3_keypress_onset,RAW_p4_short_question_onset,RAW_param_end_instruct_onset,CHANGE
4,3,1,1,4,c4_HowHand,1,reaching?,107,H_007.jpg,0,0.0450947284698486,0,0,2.03410029411316,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249071.06189,0,1605249072.77921,0,1605249664.0366
4,3,1,2,4,c4_HowHand,2,reaching?,108,H_532.jpg,0,0.0450947284698486,0,0,0.3,0,0.616899013519287,0.602499008178711,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249073.09599,1605249073.71766,1605249073.71289,0,1605249664.0366
4,3,1,3,4,c4_HowHand,1,reaching?,109,H_474.jpg,0,0.0450947284698486,0,0,0.3,0,0.766956806182861,0.753038883209229,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249074.02968,1605249074.80032,1605249074.79664,0,1605249664.0366
4,3,1,4,4,c4_HowHand,2,reaching?,105,H_438.jpg,0,0.0450947284698486,0,0,0.3,0,0.866992950439453,0.847554206848145,2,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249075.11342,1605249075.984,1605249075.98042,0,1605249664.0366
4,3,1,5,4,c4_HowHand,1,reaching?,110,H_364.jpg,0,0.0450947284698486,0,0,0.3,0,0.86699366569519,0.855386018753052,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249076.2972,1605249077.16937,1605249077.1642,0,1605249664.0366
4,3,1,6,4,c4_HowHand,1,reaching?,106,H_006.jpg,0,0.0450947284698486,0,0,0.3,0,0.883665800094604,0.865288972854614,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249077.48098,1605249078.36742,1605249078.36465,0,1605249664.0366
4,3,1,7,4,c4_HowHand,1,reaching?,111,H_003.jpg,0,0.0450947284698486,0,0,0.3,0,0.900338888168335,0.886865854263306,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249078.68144,1605249079.58475,1605249079.58178,0,1605249664.0366
4,3,1,8,4,c4_HowHand,2,reaching?,112,H_132.jpg,0,0.0450947284698486,0,0,0.3,0,0.85032057762146,0.835605144500732,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249068.82772,1605249068.87774,1605249070.91184,1605249079.89856,1605249080.75099,1605249080.74888,0,1605249664.0366
4,3,2,1,2,c2_WhyHand,1,healthy?,21,H_627.jpg,0,5.35282349586487,0,0,2.10079288482666,0,0.700264930725098,0.678623914718628,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249080.9823,1605249086.351,1605249088.45179,1605249088.60185,1605249089.30406,1605249089.30211,0,1605249664.0366
4,3,2,2,2,c2_WhyHand,1,healthy?,18,H_438.jpg,0,5.35282349586487,0,0,0.3,0,0.766955375671387,0.747959852218628,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249080.9823,1605249086.351,1605249088.45179,1605249089.6189,1605249090.38845,1605249090.38585,0,1605249664.0366
