param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p1_cue_offset,p2_cue_type,p3_target_onset,p4_responseonset,p4_responsekey,p4_RT,p2_cue_offset,p2_cue_duration
0,0,0,21339.519512042,0.501471357001719,21340.070427167,0,0,21341.054858327,21341.055322989,1,0.766340877999028,21340.27516252,0.204735352999705
0,0,0,21342.837245868,4.00121179000053,21346.86215996,0,0,21349.560559463,21349.561424913,1,2.49697813999956,21347.063274178,0.201114217998111
0,0,0,21349.598206908,9.10124678000284,21358.742483693,0,0,21359.552513786,21359.553248518,1,0.603204089002247,21358.946478432,0.203994739000336
0,0,0,21361.483867709,1.40029345499715,21362.902777924,0,0,21365.610517181,21365.611321851,2,2.50645602499935,21363.103759808,0.200981884001521
0,0,0,21365.643026309,0.301224218001153,21365.977578147,0,0,21368.701188773,21368.702281693,2,2.52179943699957,21366.179307798,0.201729650998459
0,0,0,21368.726773004,1.40044266900077,21370.151613656,0,0,21371.050419298,21371.051151443,1,0.696636199001659,21370.35315586,0.20154220400218
0,0,0,21372.912210307,1.10127935199853,21374.030465098,0,0,21376.735283727,21376.736139497,2,2.50352292299794,21374.23127127,0.200806172000739
0,0,0,21376.764676417,1.20126909400278,21377.987587374,0,0,21379.048409537,21379.049212197,1,0.859341165996739,21378.188626766,0.201039392002713
0,0,0,21380.735815245,1.40149329999986,21382.157939399,0,0,21383.319495396,21383.320437515,1,0.959943768000812,21382.359404565,0.201465165999252
0,0,0,21384.908122475,0.400527193000016,21385.324152869,0,0,21388.04211971,21388.04261082,2,2.51633008000135,21385.525057105,0.200904235996859
0,0,0,21388.063881905,4.00124669399884,21392.101734573,0,0,21392.904211833,21392.904961812,1,0.600119081002049,21392.30355514,0.201820566999231
0,0,0,21394.84427697,2.00032572700002,21396.873351513,0,0,21399.584241232,21399.584657214,2,2.5085567189999,21397.074774673,0.201423160000559
0,0,0,21399.59685124,9.10118029799924,21408.73082193,0,0,21409.593693232,21409.594498805,1,0.660818992000713,21408.932483724,0.201661793998937
0,0,0,21411.480530625,1.60124040400115,21413.10162534,0,0,21413.969619778,21413.970455761,1,0.665933866999694,21413.303257647,0.201632306998363
0,0,0,21415.863027007,4.00110472300003,21419.88508493,0,0,21422.5938992,21422.594762752,2,2.5068618869991,21420.086623124,0.201538194000022
0,0,0,21422.628433639,2.70028532499782,21425.355710671,0,0,21426.160815782,21426.161353844,1,0.602624941999238,21425.557612627,0.201901955999347
