param_fmriSession,param_counterbalanceVer,RAW_param_triggerOnset,param_AR_invalid_sequence,param_valid_type,p1_fixation_onset,p1_param_jitter,p1_fixation_offset,p1_ptb_fixation_duration,p2_cue_type,p2_cue_onset,p2_cue_offset,p2_cue_duration,p3_target_type,p3_target_onset,p4_responseonset,p4_responsekey,p4_responsekeyname,p4_RT,p4_fixation_fillin,p4_fixation_duration,p5_fixation_onset,RAW_p1_fixation_onset,RAW_p1_fixation_offset,RAW_p2_cue_onset,RAW_p2_cue_offset,RAW_p3_target_onset,RAW_p4_responseonset,RAW_p4_fixation_fillin,RAW_p5_fixation_onset,RAW_param_end_instruct_onset,experimentDuration,param_end_biopac,CHANGE
4,2,1605223328.5071,0,valid,0.0137264633178709,1.3,1.34407590866089,1.33034944534302,right,1.36423205375671,1.56539892196655,0.201166868209839,right,1.6143257522583,2.79612277984619,2,right,1.18179702758789,3.31496452331543,0.318202972412109,3.64842175483704,1605223331.28083,1605223332.61118,1605223332.63133,1605223332.8325,1605223332.88143,1605223334.06322,1605223334.58206,1605223334.91552,1605223927.52157,599.014469146729,1605223927.53523,1605223335.12
4,2,1605223328.5071,1,invalid,3.8651699924469,0.8,4.6674787902832,0.802308797836304,right,4.68214296340942,4.88376783370972,0.201624870300293,left,4.89889048576355,5.88806485176086,1,left,0.989174365997314,6.39945410728455,0.510825634002686,6.93298672676086,1605223335.13227,1605223335.93458,1605223335.94924,1605223336.15087,1605223336.16599,1605223337.15516,1605223337.66655,1605223338.20009,1605223927.52157,599.014469146729,1605223927.53523,1605223338.40427
4,2,1605223328.5071,0,valid,7.14973472595215,0.9,8.05142282485962,0.901688098907471,right,8.06674503326416,8.26771091461182,0.200965881347656,right,8.28349279403687,8.90761088371277,2,right,0.624118089675903,9.41725157737732,0.875881910324097,10.3175892734528,1605223338.41683,1605223339.31852,1605223339.33385,1605223339.53481,1605223339.55059,1605223340.17471,1605223340.68435,1605223341.58469,1605223927.52157,599.014469146729,1605223927.53523,1605223341.79936
4,2,1605223328.5071,0,valid,10.551009645462,1.1,11.6536319160461,1.10262227058411,right,11.6680953407288,11.8695628547668,0.201467514038086,right,11.8848445320129,12.2312610054016,2,right,0.346416473388672,12.751834859848,1.15358352661133,13.9189405345917,1605223341.81811,1605223342.92073,1605223342.9352,1605223343.13666,1605223343.15194,1605223343.49836,1605223344.01893,1605223345.18604,1605223927.52157,599.014469146729,1605223927.53523,1605223345.40005
4,2,1605223328.5071,1,invalid,14.1523594760895,1.2,15.3553109073639,1.20295143127441,right,15.3694839382172,15.5813619995117,0.211878061294556,left,15.602904548645,17.6030728721619,0,nan,0,-1605223331.2671,0,17.6203267478943,1605223345.41946,1605223346.62241,1605223346.63658,1605223346.84846,1605223346.87,1605223348.87017,0,1605223348.88743,1605223927.52157,599.014469146729,1605223927.53523,1605223349.09312
4,2,1605223328.5071,1,invalid,17.8370747470856,5.5,23.3480229282379,5.51094818115234,left,23.3558120632172,23.5647268199921,0.208914756774902,right,23.5725572013855,24.3929898643494,2,right,0.820432662963867,24.9063932800293,0.679567337036133,25.6066560649872,1605223349.10417,1605223354.61512,1605223354.62291,1605223354.83183,1605223354.83966,1605223355.66009,1605223356.17349,1605223356.87376,1605223927.52157,599.014469146729,1605223927.53523,1605223357.08298
4,2,1605223328.5071,1,invalid,25.823404302597,5.4,31.2309629821777,5.40755867958069,left,31.2421018981934,31.4475159549713,0.205414056777954,right,31.4588494205475,32.6328289413452,2,right,1.17397952079773,33.1594877147675,0.326020479202271,33.5096187496185,1605223357.0905,1605223362.49806,1605223362.5092,1605223362.71462,1605223362.72595,1605223363.89993,1605223364.42659,1605223364.77672,1605223927.52157,599.014469146729,1605223927.53523,1605223364.98249
4,2,1605223328.5071,1,invalid,33.726367225647,2.8,36.5315909290314,2.8052237033844,left,36.5440909767151,36.7473988437653,0.203307867050171,right,36.760839214325,37.4667019748688,2,right,0.705862760543823,37.9779620075226,0.794137239456177,38.7949352169037,1605223364.99347,1605223367.79869,1605223367.81119,1605223368.0145,1605223368.02794,1605223368.7338,1605223369.24506,1605223370.06204,1605223927.52157,599.014469146729,1605223927.53523,1605223370.26653
4,2,1605223328.5071,1,invalid,39.011683216095,4.1,43.1145729923248,4.10288977622986,right,43.1298942470551,43.3306670093536,0.200772762298584,left,43.3466422462463,43.8655829334259,1,left,0.518940687179565,44.3803617858887,0.981059312820435,45.3807375335693,1605223370.27878,1605223374.38167,1605223374.39699,1605223374.59777,1605223374.61374,1605223375.13268,1605223375.64746,1605223376.64784,1605223927.52157,599.014469146729,1605223927.53523,1605223376.85165
4,2,1605223328.5071,1,invalid,45.5974857711792,5,50.5996258163452,5.00214004516602,right,50.6160349750519,50.8177368545532,0.201701879501343,left,50.8327834510803,51.3574550056458,1,left,0.52467155456543,51.8665051364899,0.97532844543457,52.8668796920776,1605223376.86459,1605223381.86673,1605223381.88314,1605223382.08484,1605223382.09988,1605223382.62456,1605223383.13361,1605223384.13398,1605223927.52157,599.014469146729,1605223927.53523,1605223384.33685
