param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,p5_administer_onset,p5_administer_responseonset,p5_administer_responsekey,p5_administer_RT
0,0,0,0,0,0,0,0,0,0,4082.490091385,4082.871684169,1,0.381592784000077
0,0,0,0,0,0,0,0,0,0,4087.52803565,4087.839920249,1,0.311884598999768
0,0,0,0,0,0,0,0,0,0,4092.548609337,4092.712159813,1,0.163550476000182
0,0,0,0,0,0,0,0,0,0,4097.586549711,4100.086026838,2,2.49947712700032
0,0,0,0,0,0,0,0,0,0,4102.604862314,4105.104659899,2,2.49979758500012
0,0,0,0,0,0,0,0,0,0,4107.60887814,4107.742193246,1,0.133315105999827
0,0,0,0,0,0,0,0,0,0,4112.663282572,4112.803616342,1,0.140333770000325
0,0,0,0,0,0,0,0,0,0,4117.705988843,4120.205410523,2,2.49942167999961
0,0,0,0,0,0,0,0,0,0,4122.669770414,4122.807760962,1,0.137990548000744
0,0,0,0,0,0,0,0,0,0,4127.708097096,4127.817838447,1,0.109741351000594
0,0,0,0,0,0,0,0,0,0,4132.743390251,4135.243129525,2,2.49973927399969
0,0,0,0,0,0,0,0,0,0,4137.749273109,4137.774107501,1,0.0248343920002299
0,0,0,0,0,0,0,0,0,0,4142.80831269,4145.308019002,2,2.49970631199994
0,0,0,0,0,0,0,0,0,0,4147.822743664,4150.32217663,2,2.49943296600031
0,0,0,0,0,0,0,0,0,0,4152.830079199,4155.330022636,2,2.49994343700018
0,0,0,0,0,0,0,0,0,0,4157.811173118,4158.028952488,1,0.217779370000244
0,0,0,0,0,0,0,0,0,0,4162.831496238,4163.230712454,1,0.399216216000241
0,0,0,0,0,0,0,0,0,0,4167.843384519,4168.042990107,1,0.19960558799994
0,0,0,0,0,0,0,0,0,0,4172.889573573,4175.389527742,1,2.49995416899947
0,0,0,0,0,0,0,0,0,0,4177.876296041,4180.376243626,1,2.49994758499997
0,0,0,0,0,0,0,0,0,0,4182.880073054,4183.229019054,1,0.348946000000069
0,0,0,0,0,0,0,0,0,0,4187.899252156,4190.398670617,2,2.49941846099955
0,0,0,0,0,0,0,0,0,0,4192.871218053,4195.371093293,2,2.49987523999971
0,0,0,0,0,0,0,0,0,0,4197.863234578,4200.362933375,2,2.49969879699984
0,0,0,0,0,0,0,0,0,0,4202.876817075,4205.376416952,2,2.49959987700004
0,0,0,0,0,0,0,0,0,0,4207.864796017,4210.364804772,2,2.50000875499973
0,0,0,0,0,0,0,0,0,0,4212.855775011,4215.355557751,2,2.49978273999932
0,0,0,0,0,0,0,0,0,0,4217.842714645,4220.342463798,2,2.49974915299936
0,0,0,0,0,0,0,0,0,0,4222.828332768,4225.327964796,2,2.49963202799972
0,0,0,0,0,0,0,0,0,0,4227.798537052,4230.298317439,2,2.4997803870001
0,0,0,0,0,0,0,0,0,0,4232.769247966,4235.26919957,2,2.49995160399976
0,0,0,0,0,0,0,0,0,0,4237.773164705,4237.9619488,1,0.188784094999392
0,0,0,0,0,0,0,0,0,0,4242.78686654,4243.043190974,1,0.256324433999907
0,0,0,0,0,0,0,0,0,0,4247.830157215,4247.870695938,1,0.0405387229993721
0,0,0,0,0,0,0,0,0,0,4252.849821316,4255.349632233,2,2.4998109170001
0,0,0,0,0,0,0,0,0,0,4257.854092179,4258.109174705,1,0.255082526000479
0,0,0,0,0,0,0,0,0,0,4262.872087818,4263.03896868,1,0.166880861999744
0,0,0,0,0,0,0,0,0,0,4267.892543428,4270.392288788,2,2.49974535999991
0,0,0,0,0,0,0,0,0,0,4272.859412509,4273.065527488,1,0.206114978999722
0,0,0,0,0,0,0,0,0,0,4277.887903483,4280.387584049,2,2.49968056600028
0,0,0,0,0,0,0,0,0,0,4282.85789324,4283.05051231,1,0.192619070000546
0,0,0,0,0,0,0,0,0,0,4287.871810969,4290.371248469,2,2.49943750000057
0,0,0,0,0,0,0,0,0,0,4292.840228395,4295.340010353,2,2.49978195800031
0,0,0,0,0,0,0,0,0,0,4297.842855641,4300.342447598,2,2.49959195700012
0,0,0,0,0,0,0,0,0,0,4302.830533201,4305.330027668,2,2.49949446699975
0,0,0,0,0,0,0,0,0,0,4307.832185099,4310.331902048,2,2.49971694900069
0,0,0,0,0,0,0,0,0,0,4312.806307928,4313.100573286,1,0.294265358000303
0,0,0,0,0,0,0,0,0,0,4317.804231604,4318.065345064,1,0.261113460000161
0,0,0,0,0,0,0,0,0,0,4322.814673496,4325.314452432,2,2.49977893599953
0,0,0,0,0,0,0,0,0,0,4327.785103585,4330.285065658,2,2.49996207300046
0,0,0,0,0,0,0,0,0,0,4332.750860105,4335.250280568,2,2.4994204629993
0,0,0,0,0,0,0,0,0,0,4337.752286395,4340.252024076,2,2.49973768100062
0,0,0,0,0,0,0,0,0,0,4342.723568197,4345.22338004,2,2.49981184300032
