param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,p5_administer_onset,p5_administer_responseonset,p5_administer_responsekey,p5_administer_RT
0,0,0,0,0,0,0,0,0,0,4452.889840595,4455.389185129,2,2.49934453399965
0,0,0,0,0,0,0,0,0,0,4457.860426363,4460.360423914,2,2.49999755099998
0,0,0,0,0,0,0,0,0,0,4462.8525934,4462.986654754,1,0.134061353999641
0,0,0,0,0,0,0,0,0,0,4467.855270892,4468.087374874,1,0.232103981999899
0,0,0,0,0,0,0,0,0,0,4472.875768831,4473.030779893,1,0.155011062000085
0,0,0,0,0,0,0,0,0,0,4477.896079665,4478.011154451,1,0.11507478600015
0,0,0,0,0,0,0,0,0,0,4482.915603973,4483.080020454,1,0.164416481000444
0,0,0,0,0,0,0,0,0,0,4487.920294216,4488.098374896,1,0.178080679999766
0,0,0,0,0,0,0,0,0,0,4492.923937707,4493.140610285,1,0.216672577999816
0,0,0,0,0,0,0,0,0,0,4497.928280663,4500.427891391,2,2.49961072800033
0,0,0,0,0,0,0,0,0,0,4502.914720072,4505.414144855,2,2.49942478299999
0,0,0,0,0,0,0,0,0,0,4507.90086594,4510.400863597,2,2.49999765700068
0,0,0,0,0,0,0,0,0,0,4512.921350619,4513.18006726,1,0.258716641000319
0,0,0,0,0,0,0,0,0,0,4517.953593323,4518.104814524,1,0.151221201000226
0,0,0,0,0,0,0,0,0,0,4522.979291497,4525.478795576,2,2.49950407899996
0,0,0,0,0,0,0,0,0,0,4527.960222762,4528.092960328,1,0.132737566000287
0,0,0,0,0,0,0,0,0,0,4532.970028204,4533.177435683,1,0.207407478999812
0,0,0,0,0,0,0,0,0,0,4538.00663364,4538.310703068,1,0.30406942800073
0,0,0,0,0,0,0,0,0,0,4543.027863434,4543.42164109,1,0.393777655999656
0,0,0,0,0,0,0,0,0,0,4548.04143564,4550.541267308,2,2.4998316680003
0,0,0,0,0,0,0,0,0,0,4553.045158357,4553.266398561,1,0.221240203999514
0,0,0,0,0,0,0,0,0,0,4558.087942034,4560.587761583,2,2.49981954900068
0,0,0,0,0,0,0,0,0,0,4563.092638622,4565.592140192,2,2.49950157000058
0,0,0,0,0,0,0,0,0,0,4568.079459048,4570.579076015,2,2.49961696700029
0,0,0,0,0,0,0,0,0,0,4573.060393453,4573.396638946,1,0.336245493000206
0,0,0,0,0,0,0,0,0,0,4578.082797597,4580.582426425,2,2.49962882800082
0,0,0,0,0,0,0,0,0,0,4583.054986347,4583.219073506,1,0.164087159000701
0,0,0,0,0,0,0,0,0,0,4588.06312818,4588.128705278,1,0.0655770980001762
0,0,0,0,0,0,0,0,0,0,4593.083666321,4595.583557047,2,2.49989072599965
0,0,0,0,0,0,0,0,0,0,4598.047586606,4600.546993949,2,2.49940734300071
0,0,0,0,0,0,0,0,0,0,4603.02606736,4605.525968881,2,2.49990152100054
0,0,0,0,0,0,0,0,0,0,4608.02985181,4610.529664484,2,2.49981267400017
0,0,0,0,0,0,0,0,0,0,4613.015125818,4615.51452702,2,2.49940120199972
0,0,0,0,0,0,0,0,0,0,4618.001567347,4618.281829241,1,0.280261894000432
0,0,0,0,0,0,0,0,0,0,4623.02322678,4623.645091106,1,0.621864325999923
0,0,0,0,0,0,0,0,0,0,4628.038748888,4630.538411212,2,2.49966232400038
0,0,0,0,0,0,0,0,0,0,4633.047005208,4633.266350747,1,0.219345538999733
0,0,0,0,0,0,0,0,0,0,4638.06790218,4638.189529081,1,0.121626901000127
0,0,0,0,0,0,0,0,0,0,4643.072197867,4643.10770067,1,0.0355028029998721
0,0,0,0,0,0,0,0,0,0,4648.087602762,4650.587133462,2,2.49953069999992
0,0,0,0,0,0,0,0,0,0,4653.089606748,4655.58917199,2,2.49956524200024
0,0,0,0,0,0,0,0,0,0,4658.077868034,4658.413840753,1,0.335972718999983
0,0,0,0,0,0,0,0,0,0,4663.115884641,4665.615332337,2,2.49944769600006
0,0,0,0,0,0,0,0,0,0,4668.133467344,4668.302125075,1,0.168657731000167
0,0,0,0,0,0,0,0,0,0,4673.140146263,4673.211089963,1,0.0709436999995887
0,0,0,0,0,0,0,0,0,0,4678.177914621,4680.677816578,2,2.49990195699957
