param_fmriSession,p1_fixation_onset,p2_filename,p2_filetype,p2_story_onset,p3_ques_onset,p4_responseonset,p4_responsekey,p4_RT,experimentDuration,RAW_param_trigger_onset,RAW_p1_fixation_onset,RAW_p2_story_onset,RAW_p3_ques_onset,RAW_p4_responseonset,RAW_param_end_instruct_onset,RAW_param_final_fixation,param_start_biopac,event01_fixation_biopac,event02_story_biopac,event03_question_biopac
4,12.0305259132385,2b_story.txt,false_belief,12.0472004318237,23.0513484382629,25.9305970573425,1,2.88026165962219,596.059752225876,1605232525.58206,1605232540.37258,1605232540.38926,1605232551.39341,1605232554.27265,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,41.5583271884918,2p_story.txt,false_photo,41.5749997997284,52.5624759101868,53.7545199298859,1,1.19272017478943,596.059752225876,1605232525.58206,1605232569.90038,1605232569.91706,1605232580.90453,1605232582.09658,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,71.0694551372528,4p_story.txt,false_photo,71.0861267948151,82.0736038589477,85.5412459278107,2,3.46862506866455,596.059752225876,1605232525.58206,1605232599.41151,1605232599.42818,1605232610.41566,1605232613.8833,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,100.580581655502,4b_story.txt,false_belief,100.597256174088,111.584731807709,-1605232528.34206,0,0,596.059752225876,1605232525.58206,1605232628.92264,1605232628.93931,1605232639.92679,0,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,130.091711273193,1p_story.txt,false_photo,130.108384122849,141.095861663818,143.039513101578,1,1.94490623474121,596.059752225876,1605232525.58206,1605232658.43377,1605232658.45044,1605232669.43792,1605232671.38157,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,159.602838506699,1b_story.txt,false_belief,159.619513025284,170.606990089417,171.898261060715,1,1.29229998588562,596.059752225876,1605232525.58206,1605232687.9449,1605232687.96157,1605232698.94905,1605232700.24032,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,189.113969078064,3p_story.txt,false_photo,189.130642404556,200.118118991852,-1605232528.34206,0,0,596.059752225876,1605232525.58206,1605232717.45603,1605232717.4727,1605232728.46018,0,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,218.625098218918,3b_story.txt,false_belief,218.641771068573,229.629248371124,232.220792999268,2,2.5925076007843,596.059752225876,1605232525.58206,1605232746.96716,1605232746.98383,1605232757.97131,1605232760.56285,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,248.136227121353,10b_story.txt,false_belief,248.152901163101,259.140377988815,-1605232528.34206,0,0,596.059752225876,1605232525.58206,1605232776.47828,1605232776.49496,1605232787.48243,0,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,277.647357931137,10p_story.txt,false_photo,277.664031257629,288.651508321762,292.421185007095,1,3.7711136341095,596.059752225876,1605232525.58206,1605232805.98941,1605232806.00609,1605232816.99357,1605232820.76324,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
